"from","to","weight"
"H","2",4
"H","3",5
"H","4",3
"H","5",3
"H","6",3
"H","7",3
"H","8",2
"H","9",2
"H","11",2
"H","12",3
"H","13",1
"H","14",3
"H","18",2
"H","20",2
"H","22",2
"H","32",2
"2","3",6
"2","4",3
"2","8",4
"2","14",5
"2","18",1
"2","20",2
"2","22",2
"2","31",2
"3","4",3
"3","8",4
"3","9",5
"3","10",1
"3","14",3
"3","28",2
"3","29",2
"3","33",2
"4","8",3
"4","13",3
"4","14",3
"5","7",2
"5","11",3
"6","7",5
"6","11",3
"6","17",3
"7","17",3
"9","31",3
"9","33",3
"9","A",4
"10","A",2
"14","A",3
"15","33",3
"15","A",2
"16","33",3
"16","A",4
"19","33",1
"19","A",2
"20","A",1
"21","33",3
"21","A",1
"23","33",2
"23","A",3
"24","26",5
"24","28",4
"24","30",3
"24","33",5
"24","A",4
"25","26",2
"25","28",3
"25","32",2
"26","32",7
"27","30",4
"27","A",2
"28","A",4
"29","32",2
"29","A",2
"30","33",4
"30","A",2
"31","33",3
"31","A",3
"32","33",4
"32","A",4
"33","A",5
