"from","to","weight"
1,1,1
2,2,1
290,2,-0.2501
3,3,1
4,4,1
343,4,-0.33333
5,5,1
6,5,-0.13167
7,5,-0.13167
8,5,-0.13167
9,5,-0.26
10,5,-0.025
11,5,-0.085
425,5,-0.07833
426,5,-0.07833
427,5,-0.07833
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
143,11,-0.35
12,12,1
13,13,1
480,13,-0.08143
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
5,22,-0.24
22,22,1
23,23,1
322,23,-0.25
24,24,1
25,25,1
26,26,1
151,26,-0.8
27,27,1
28,28,1
3908,28,-0.5001
29,29,1
30,30,1
31,31,1
151,31,-0.2
32,32,1
33,33,1
34,34,1
35,34,-0.05
34,35,-0.1
35,35,1
64,35,-0.0134
36,36,1
37,37,1
244,37,-0.375
3869,37,-0.375
38,38,1
39,39,1
40,40,1
41,41,1
76,41,-0.5001
3912,41,-0.1
42,42,1
43,43,1
71,43,-0.1
44,44,1
45,45,1
47,45,-0.40459
46,46,1
47,46,-0.3964
45,47,-0.1
46,47,-0.1
47,47,1
3913,47,-0.03
48,48,1
1033,48,-0.27
1034,48,-0.1
49,49,1
50,50,1
51,51,1
52,52,1
52,53,-0.537
53,53,1
160,53,-0.394
54,54,1
1173,54,-0.255
55,55,1
56,56,1
57,57,1
58,58,1
2547,58,-0.42
3916,58,-0.2
59,59,1
60,60,1
61,61,1
62,62,1
63,63,1
64,64,1
65,65,1
1282,65,-0.22
66,66,1
68,66,-0.0123
67,67,1
64,68,-0.08333
68,68,1
69,69,1
2547,69,-0.1
70,70,1
71,71,1
71,72,-0.33984
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
21,77,-0.05
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
371,96,-1
97,97,1
98,98,1
246,98,-0.1776
99,99,1
1644,99,-0.077
1646,99,-0.1
1647,99,-0.1
1652,99,-0.1
100,100,1
101,101,1
102,102,1
3924,102,-0.25005
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
3925,110,-0.1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
123,117,-0.235
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
124,125,-0.76
125,125,1
124,126,-0.01
125,126,-0.1
126,126,1
123,127,-0.5006
124,127,-0.4994
127,127,1
127,128,-0.2499
128,128,1
129,129,1
129,130,-0.6679
130,130,1
130,131,-0.404
131,131,1
123,132,-0.2501
129,132,-0.38
132,132,1
133,133,1
134,134,1
461,134,-0.4999
135,135,1
136,136,1
137,137,1
138,138,1
139,139,1
140,140,1
129,141,-0.03
141,141,1
3977,141,-0.2
142,142,1
11,143,-0.09
71,143,-0.00417
143,143,1
2023,143,-0.004
2069,143,-0.054
143,144,-0.25
144,144,1
145,145,1
143,146,-0.5001
146,146,1
147,147,1
148,148,1
50,149,-0.195
149,149,1
160,149,-0.078
150,150,1
151,151,1
2586,151,-0.1
151,152,-0.96
152,152,1
153,153,1
73,154,-0.1
154,154,1
155,155,1
156,156,1
157,157,1
1345,157,-0.5
2225,157,-0.5
158,158,1
2230,158,-0.34
159,159,1
53,160,-0.03
160,160,1
43,161,-0.1
161,161,1
871,161,-0.044
3953,161,-0.23
3954,161,-0.1
162,162,1
163,163,1
187,163,-0.1
164,164,1
2329,164,-0.01408
164,165,-0.25
165,165,1
166,166,1
2361,166,-0.055
167,167,1
3978,167,-0.2
168,168,1
169,169,1
170,170,1
171,171,1
172,172,1
173,173,1
174,174,1
175,175,1
2396,175,-0.33333
2397,175,-0.33333
2398,175,-0.33333
176,176,1
177,177,1
178,178,1
179,179,1
180,180,1
181,181,1
182,182,1
183,183,1
2435,183,-0.12
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,1
194,194,1
2484,194,-0.4145
195,195,1
196,196,1
197,197,1
156,198,-0.25
198,198,1
199,199,1
200,200,1
201,201,1
202,202,1
203,203,1
204,204,1
205,205,1
206,206,1
207,207,1
208,208,1
2664,208,-0.06146
209,209,1
207,210,-0.0103
210,210,1
211,211,1
212,212,1
213,213,1
214,214,1
215,215,1
216,216,1
217,217,1
218,218,1
219,219,1
220,220,1
221,221,1
222,222,1
223,223,1
224,224,1
3957,224,-0.99
225,225,1
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
2924,232,-0.833
233,233,1
234,234,1
235,235,1
236,236,1
237,237,1
6,238,-0.078
7,238,-0.078
10,238,-0.078
238,238,1
